parent_asin,amazon_title,amazon_store,dsld_id,dsld_full_name,dsld_brand_name,match_score,match_reason,is_false
B076ZHTZZ9,"Citrus&Wheat 6X4.2 Oz Bath Bombs Gift Set | All Natural & Organic Spa Fizzies With Shea Butter | Promote Relaxation, Moisturize, Revitalize & Cleanse Your Skin",Citrus&Wheat,1760,Natural Cleanse Tablets,Viva Vitamins,0.7,high_token_overlap,False
B077QNBWYK,"50pcs 4ml Clear Liquid Dropper Pasteur Pipette, Plastic Squeeze Transfer Pipettes Suitable for Chocolate, Cupcakes, Strawberries",,17859,Chocolate,ON Optimum Nutrition,0.6,short_substring,False
B07XBZQ8MV,"Heating Pad for Back Pain, Large Electric Heating Pad for Cramps Pain Relief, 6 Heat Settings with Auto Shut Off Timer, Moist Heat Therapy Pad for Neck, Shoulder, Knee, Machine Washable, 12 x 24 inch",HYQ,249265,Back & Neck Pain,BIOVEA Homeopathics,0.7,high_token_overlap,False
B081KSV47Y,"Khiasi Beauty Superfood (15 sachets) - All Natural Dietary Supplement with Pre & Probiotics, Antioxidants, Biotin & Vitamin E - Supports Digestion, Skin Elasticity, pH Balance & Energy",Khiasi,23540,Antioxidants,Innate Response Formulas,0.9,substring,False
B01IAIBIT0,ProFoot Super Sport Arch Support Men's 1 Pair (Pack of 4),PROFOOT,199747,Men's Support,Banyan Botanicals,0.7,high_token_overlap,False
B071WQPDJK,Doctor’s Choice Organic Kelp Thallus 600mg 90 Veggie Caps (Premium Quality-Glass Bottle),Doctor's Choice Herbals,82470,Organic Kelp,New Sun,0.9,substring,False
B002Y2Q5FG,RealSleep #1 - Get to sleep faster. Stay asleep longer.,NeuroPop,338951,Stay A Sleep,Signature Supplements,0.7,high_token_overlap,False
B08HD3F6SW,"Lnlofen Silicone Back Scrubber for Shower, 2Pcs Exfoliating Lengthen Bath Body Brush with Handle, Easy to Clean Back Washer for Men and Women(Blue, Grey)",Lnlofen,19587,Clean For Men,Reaction Nutrition,0.7,high_token_overlap,False
B01N2AIX8C,"GoodSense Omeprazole and Sodium Bicarbonate Capsules, 42 Count",AMAZON/GOOD SENSE,321234,Sodium Bicarbonate+,Healthy Kidney,0.9,substring,False
B010CQ25B8,20 Pounds Natural Magnesium Chloride Flakes (Wasatch Naturals Brand),HEALTHLAB,264445,Magnesium Chloride,WP Westminster Pharmaceuticals,0.9,substring,False
B09NCM8GWZ,"Whey Protein Powder 24g of Protein from Whey Isolate and Concentrate with Digestive Enzymes, Naturally Rich in BCAAs for Lean Muscle Building and Workout Recovery, Made in USA, Chocolate Flavor, 2 Lb",Built by Nature,328152,Digestive Enzyme,Nutrilite,0.9,substring,False
B018WGXNX4,"Acne Treatment: Anti Acne Deep Pore Cleansing Astringent Toner. Clears Acne. Reduce Blemishes & Redness. Salicylic Acid & Niacinamide Vitamin B3 for Healthier, Youthful Glow. 6 oz",Clear N Smooth,311124,Niacinamide (Vitamin B3),BulkSupplements.com,0.9,substring,False
B07DXQTYXM,Calcium Supplements with Vitamin K1 & D3. Strong Healthy Bone Support with for Men & Women (180),Trained,69957,Bone Support,Nature's Plus Source of Life,0.9,substring,False
B07MND53VR,"Eye Mask for Sleeping with 2 Pack, Lightweight , Elastic Strap,Black/Grey 3D Contoured Sleep Masks, Shift Work, Naps, Night Blindfold Eyeshade for Men and Women(Grey)",ZWGKKYGYH,323158,Sleeping,Prince of Peace,0.6,short_substring,False
B00F6BPPYO,Menicon Unique pH Travel Pack (2 fl. oz/60 mL) - Multi-Purpose Solution for Gas Permeable Contact Lenses. TWO bottles,Supportiback,34747,Multi Two,Village Green Apothecary,0.7,high_token_overlap,False
B01JFIAAIY,"Hair Brush for Women, Detangler Hair Brush for Wet or Dry, KAMOSSA Hair Brush for Thick or Thin, Curly or Straight Detangling Hair - No More Tangle - Adults & Kids - Pink Angel Wing",Kamossa,183957,For Women,Country Life Realfood Organics,0.6,short_substring,False
B07Z5CBWZN,"Pharmatech ® L-Carnitine 500 mg, Amino Acid, Supports Energy, Increase Performance, Gluten Free, Non GMO, Suitable for Vegetarians, Made in USA, 120 Tablets",PHARMATECH,262240,L-Carnitine 500 mg,Wonder Laboratories,0.9,substring,False
B01L479SH8,Bath & Body Works PocketBac Hand Gel Sanitizer French Lavender,Bath & Body Works,331396,French Lavender,Revive,0.9,substring,False
B0767RFXK8,"Sofcomfort (6 Pairs) Shoe Inserts: Insoles For Men, Insoles For Women Customizable, Moisture Wicking with Orthopedic Cushion and Arch Support",Sofcomfort,247235,Women's Support,Banyan Botanicals,0.7,high_token_overlap,False
B01D5G11QC,Fwidget: The Original Sensory Fidget Device (Orange),Fwidget,264678,Original,Schiff Neuriva Brain Performance ,0.6,short_substring,False
B08VNR7RFK,"Christmas Gifts for Women, Birthday Gifts Basket for Friends Gifts for Her Girlfriend Sister Mom Unique Holiday Gifts Box Jade Roller Bath Bombs Candle Tumbler Cocoa Butter Cozy Socks",COCOLLURE,183957,For Women,Country Life Realfood Organics,0.6,short_substring,False
B06XGSXFC2,Forti-Flax - 16 oz. (Pack of 2),Barlean's,58633,Forti-Flax,Barlean's,1.0,substring+brand,False
B0XAJI0Y6D,Organic Nature - jjigbl Premium - - Herbal,chqxje Organic Herbs,924184,Probiotic uzwwjl Adult,jfgyqp Pharmacy CVS,0.81,high_token_overlap,True
B00VE32NRA,2PCS 8 in 1 Multi-Tool Hairclips Mini Tools Clip Stainless Steel Tactical Cutter Ruler,Pocket EDC Tool,238790,Mini Multi,Viva Vitamins,0.7,high_token_overlap,False
B01N5EVOA7,"Walgreens Calcium Soft Chews 500 mg w/Vitamin D, Chocolate, 100 ct",Walgreens,2196,Calcium Soft Chews,Nutrition Now,0.9,substring,False
B07F72Z9M4,"Y-NOT Sex Machine Sex Toys for Women and Men with Free Pocket Pussys and Dildos, F Machine Massage Gun Masturbator for Female/Male, Adult Toy Dildo Machine, Automatic Love Machine with 8 Attachments",Y-NOT,277186,For Women,Country Life Realfood Organics,0.6,short_substring,False
B07QD7W6B6,Veggie Soak 16oz by Young Living Essential Oils,Young Living,34855,Essential Oils,NewtonEverett,0.9,substring,False
B07481H87G,Disney Junior The Lion Guard Balloon Bouquet,Anagram,202827,On Guard,doTERRA,0.6,short_substring,False
B08VRH6BMS,"3 Pack Fashion Cat Eye Reading Glasses,Cute Reader with Spring Hinges for Women",ZXYOO,183957,For Women,Country Life Realfood Organics,0.6,short_substring,False
B085BZ5S37,"White Noise Machine - LSSEDA Sleep Therapy Portable Sound Machine with 20 Soothing Natural Sounds, Night Light Sleeping Soft Light Machine with Timer for Home, Travel, Office, Baby, Adult",L LSSEDA,218394,Soothing Sleep,Pacific BioLogic,0.7,high_token_overlap,False
B004W4EHN6,Dandelion & Isatis Combo Dietary Supplement (YA ZHOU YAN WAN),KGS,307315,Dandelion,NusaPure,0.6,short_substring,False
B09NNFCXKP,"Ice Roller for Face and Eye,Baspee Silicone Ice Face Roller Skin Care Mold,Gua Sha Face Massage Ice Facial Roller,Ice Mold for Face Beauty,Improve Dull Skin/Face Allergies/Eye Puffiness/Dark Circles (Diamond-Pink)",Baspee,321993,Eye Care Gummies,NasaBe'Ahava,0.7,high_token_overlap,False
B0837P23XC,Traditional wood Seasoning Beewax Complete Solution Furniture Care Beeswax Home Cleaning(2 Pack),Saya fe,82125,Complete,Kroger,0.6,short_substring,False
B01M10J4ZE,Smarty Pants Gummy - Adult Probiotic - Lemon - 60 ct (Pack of 2),SmartyPants Gummy Vitamins,18178,Adult Probiotic,CVS Pharmacy,0.9,substring,False
B08VVTTVH5,Intra Herbal Juice Drink Canada Energy Drink Immune Booster and Body Detox Drink (1 Bottle),Intra,262449,Immune Boost,Wonder Laboratories,0.9,substring,False
B08CN4YM6Z,"HBNO Eucalyptus Oil 4 oz with Dropper 100% Pure Natural Premium Therapeutic Grade for Vibrant Skin, Smooth Hair, Aromatherapy & Diffuser",Health & Beauty Natural Oils,278908,Eucalyptus Oil,Pure Herbs,0.9,substring,False
B07X2FPK94,AIRQUEEN (Large Super Ultra Slim Pads 4 Pack / 20 Total) Real Breathable Certified 100% Organic Cotton Menstrual Pads for Period - Ultra Slim & Super Absorbency Sanitary Napkins with Wings,AIRQUEEN,1905,Super Slim,MicroTech Professional Formulations,0.7,high_token_overlap,False
B000173HPW,Chocoholics Divine Desserts Body Talk Chocolate Tattoo Set - 1 set,Chocoholics Divine Desserts,17859,Chocolate,ON Optimum Nutrition,0.6,short_substring,False
B07K4F6RCC,Colorful New Years Eve - 2020 Decorations DIY New Years Eve Party Essentials - Set of 20,Big Dot of Happiness,271485,Essentials,New Earth,0.6,short_substring,False
B087MZS1KG,"Black Seed Oil Cold Pressed - 100% Pure, Premium Quality - Organic Herbal by Nature - Dietary Supplement - Gluten Free - Unfiltered and Unrefined - 4oz",Organic Herbs,199395,Black Seed Oil,ZHOU,0.9,substring,False
B08LN6RH87,"Rawel TartCherry Collagen Jelly 20g x 15stick / Tart Cherry Concentrate / with Vitamin C, Lutein, Zeaxanthin and Anthocyanin / Reduce Wrinkles, Tighten Skin, Hair Growth, Strong Nails, & Joints",RAWEL,295527,Lutein/Zeaxanthin,Pure Encapsulations,0.9,substring,False
B010AIMHX4,"The Natural Dentist® Healthy Teeth Fluoride Rinse - Alcohol-free mouthwash that strengthens tooth enamel. Fresh Mint flavor, 16.9 oz.",The Natural Dentist,234657,Alcohol Free,Herbal Terra,0.9,substring,False
B08GYB15Q1,"Trace Minerals Calcium Magnesium Supplement – Deep Sea Trace Elements and Mineral Supplement Including Potassium, Zinc, Sodium and Iron – Natural Multimineral Supplement for Hydration, Muscle Recovery",Live Wise Naturals,262206,Calcium Magnesium,Wonder Laboratories,0.9,substring,False
B0N78BMYYM,Assorted Men-Best Stockings Compression Socks 4) for jbmfxj,ACTINPUT frkhbu,1246286,Calcium Magnesium rviawg,apiulz Wonder Laboratories,0.75,high_token_overlap,True
B0RJRNY204,oz. Fluoride liwhyk enamel. Healthy Alcohol-free strengthens Mint,tbyfby Dentist The Natural,1298734,Blue Digital yfaddr,mgjpzs Health Quantum,0.99,substring,True
B00RNNUOIK,"Enzymatic Therapy, Pearls IC, Intensive Care Probiotics, 90 Capsules by Enzymatic Therapy",Enzymatic Therapy,1348,Pearls IC,Enzymatic Therapy,1.0,substring+brand,False
B07TWMF5N8,PROTEEN Kids Protein Powder with Whey 500g | for Youth Athletes & Child Growth| for Delicious Kids Protein Shakes,Unknown,311848,Whey Protein,BulkSupplements.com,0.7,high_token_overlap,False
B06XQYZ8K6,"Protes Protein Chips - Toasted Coconut - High Protein, Low Carb, Vegan, Gluten-Free, 4 oz. Bag",Protes,42312,Isopure Low Carb Toasted Coconut,Nature's Best,0.7,high_token_overlap,False
B07LF5T551,"Foot Hammock Under Desk Foot Stand protable Legs up Hammock Office Foot Sling for nap,Home footrest with Hanging Rope(Black ＆ White Stripe)",db Living,9868,T-Up Black,Nutrex Research,0.7,high_token_overlap,False
B0081X3QZO,"Hermell Products Inc. Molded Foam Comfort Ring Cushion, Cranberry, 16 x 13",Hermell Products Inc.,18456,Cranberry,Indiana Botanic Gardens,0.6,short_substring,False
B01M3U2F34,Goji Trim Weight Loss 30 Capsules/ Semillas De Baya De Goji Capsulas,Goji Trim,180286,Weight Loss 4,Doctor's Select Nutraceuticals,0.7,high_token_overlap,False
B018X66WDQ,"Static Schmatic - Basic Essentials, Hair & Clothes Set",Static Schmatic,275736,Hair Essentials,Wholly You,0.7,high_token_overlap,False
B08H1WZR59,Black Men's Silicone Resistance Exercise Ring Size-8,SOCOAT,265349,Resistance,Apollon Nutrition,0.6,short_substring,False
B005QD5KLK,DC Labs - Manga-Cal - 200 Tablets by Dee Cee Labs,Dee Cee Laboratories,266506,Manga-Cal,DC,1.0,substring+brand,False
B07MZLG5FL,Being Well Essentials Pretzel Twists - 7 Bags - 12g Protein - only 120 Calories,Being Well Essentials,236960,Essentials,body togs,0.6,short_substring,False
B072XSQ767,"Handmade ORGONITE Tree of Life Pyramid Orgone Energy Generator for Abundance, Prosperity, Wealth and Growth, with Amber, Amethyst, Lapis Lazuli",Vajra Orgone Pyramid,256009,Life's Energy,Life's Fortune,0.7,high_token_overlap,False
B08N66S54Z,"50PCS Multiple Color Pills Capsule, Message Letter Capsule Fancy Love Pills Gift, Special Message Way Gift",MinLia,204775,Multiple,Bluebonnet Rainforest Animalz,0.6,short_substring,False
B017L0TUQ6,SlandaiseTM Premium Stainless Steel Nail Clipper Deluxe Set –Includes a Professional Finger Nail Trimmer - Heavy Duty Toenail Sharp Edge Cutter –Plus a Bones Poach,,181519,Professional,ENZO Nutraceuticals,0.9,substring,False
B0C02DGTFG,"Supplement Supplement Natural Zinc, Trace Mineral ssurme Elements",tbpnwe Wise Naturals Live,934224,Black T-Up prgdxg,Research Nutrex qkpnyf,0.73,brand+token_overlap,True
B09VTMNTH7,"Sandalwood Essential Oil 16 Fluid Ounce.Premium Therapeutic Grade Essential Sandalwood Oil. 100% Pure & Natural, Perfect for Soothing Skin, Perfume, Aromatherapy, Bath & Relaxation.",GER GENERAL MERCHANDISE,204917,Natural E-Oil,NOW,0.7,high_token_overlap,False
B00KFDN7S4,Fasidi Women Postpartum Tummy Slim Slimming Girdle Corset Body Re-Shaping Belt Asian Size XL,Fasidi,251028,Body Slim,Relumins Advance Nutrition,0.7,high_token_overlap,False
B006GZFGA2,Brain Balance Activation Spray - Bio-Energetic Activation Technology,LIFEBEAT,296828,N-Balance,Physician's Strength,0.6,short_substring,False
B00K389LGS,Mugwort Raw Herb,Moon Magick,280235,Mugwort Herb,TerraVita,0.7,high_token_overlap,False
B08FX2F1L4,100 Pieces Interdental Brush Cleaners Toothpick Dental Brushes Tooth Flossing Head Oral Dental Hygiene Interdental Brush Dental Flosser Toothpick Cleaners Tooth Cleaning Tool Christmas Giving,Patelai,232325,Oral Hygiene,Life Extension Florassist,0.7,high_token_overlap,False
B009HY1Y7I,"NutriStart NutriStart Bamboo Silica, 120 Vegetarian Capsules",Nutristart,253200,Vegetarian,Pure Essence Real-Zymes,0.6,short_substring,False
B00GSW11KW,"Green Panda Chinese Metal Health Exercise Stress Balls, 1.8 Inches, Free Tibetan Prayer Flags",Hinky Imports,230030,Metal-Free,BodyHealth,0.7,high_token_overlap,False
B07BRB5V3K,Rejuvenate Professional Wood Floor Restorer with Durable High Gloss Finish Non-Toxic Easy Mop On Application - 32 Ounces (2-Pack),Rejuvenate,181519,Professional,ENZO Nutraceuticals,0.9,substring,False
B01N1PCQP1,"Healthy Care SM Purple Single Bell Breast Vaginal Nipple Clamps,1 Pair",Healthy Care,274764,Vaginal Care,Garden of Life Raw Probiotics,0.7,high_token_overlap,False
B0718XDH4L,French Bath Bombs for Women with Loofah Mitt and 8-100% all Natural - Fresh Fizzy Floral Essential Oils Scents - Rose Lavender Mint Chamomile + Shea Butter + Aloe Best Vegan Spa Day Kit,Luscious Goods,34855,Essential Oils,NewtonEverett,0.9,substring,False
B01LZW761P,Vectair Airoma 3000 Automatic Dispenser Air Freshener Fragrance Scent Refill - Lemon Peel by Vectair,,291193,Lemon Peel Powder,TerraVita Premium Collection,0.7,high_token_overlap,False
B08XX2GP5Q,HWANGTO Hot & Cool Soothing Gel Massage Pad/Korean Reusable Red Clay Heating & Cooling Pad/Microwavable Heating Pad/Cooling Pad (Waist),Feel Soon Retail,38334,Red Hot,Universal,0.7,high_token_overlap,False
B007OF55Y0,Original Medicine Multi-Probiotic (120 CAPS),Original Medicine,263330,Multi Caps,Progressive Professional from Progressive Laboratories,0.7,high_token_overlap,False
B06X1DX4BH,Red Check Hot Dog Tray Party Catering Disposable Trays (50) Made in USA,Southern Champion Tray,38334,Red Hot,Universal,0.7,high_token_overlap,False
B09VM4MDC9,"Mrs. Meyer's Liquid Laundry Detergent, Biodegradable Formula Infused with Essential Oils, Birchwood, 64 oz (64 Loads)",MRS. MEYER'S CLEAN DAY,34855,Essential Oils,NewtonEverett,0.9,substring,False
B074ZLHTQ2,"Pure Silk Sleep Mask Side Sleepers Nose Pad No Wrinkles,Adjustable Eye Mask for Sleeping&Large Cover Blindfold Men and Women (Red)",Evursua,183007,Men's Pure Pack,Pure Encapsulations,0.7,high_token_overlap,False
B08DLPHHNL,"URLAUB 3 Pack Blue Light Blocking Reading Glasses, Anti Glare Computer Readers +1.5 for Women Men, Ladies Magnification Eyeglasses",Jeder S,183957,For Women,Country Life Realfood Organics,0.6,short_substring,False
B0741YXKBK,Bracelet Party Favors Kit for Women Men Girls Teens Kids I Bracelets & Free Favors Bags| High Quality Fashion Jewelry | Assorted Styles | Frogsac USA Seller (4),FROG SAC,181665,High T Women,High T,0.7,high_token_overlap,False
B07654CQ89,Maithong Turmeric Natural and Herbal Thai Soap for face and Body Skin Lightening Cleaning Dark spot,Maithong,32778,Turmeric,Herb Pharm,0.6,short_substring,False
B00CBYFABM,"Gan Mao Ling Economy Size, 500 Ct, Plum Flower by Plum Flower",Plum Flower,336468,Gan Mao Ling,Plum Flower,1.0,substring+brand,False
B079GMH2MW,"Spring Valley Lutein with Zeaxanthin Softgels, 20 mg, 90 Ct",Torllireth,246982,Lutein with Zeaxanthin,Natural Nutra,0.9,substring,False
B000KGDXNA,CORTICYN TRIMPLEX - 90 Capsules NEW Cortisol & Thermogenic Formula,PowerNutra,266290,Formula 90,DC,0.7,high_token_overlap,False
B0OYKL1CQ9,Yds Coconut-Oil Packs) | Dentist-Designed 2-Scoop dcohps Floss,Cocolab rwngxb,954832,Recovery auqgto Joint,Fitness & Nutrition yrdajo Lifestyle,0.65,brand+token_overlap,True
B073DB54J6,"Digestyn7 - Organic Digestive Gummies 200mg 90 Count - Organic Ginger, Garlic, Turmeric, Cinnamon, Fennel, Fenugreek and Mint",Pharmvista,282860,Organic Ginger,Herbal Secrets,0.9,substring,False
B00YFJFOWQ,"Violife Slim Sonic Toothbrush with Traveler Case (One Size, Ocean/Blue)",VIOlife,48021,Slim One,Patient One 1 MediNutritionals,0.7,high_token_overlap,False
B0733MZT49,"R. W. GARCIA, TORT CHIP, LENTIL, TURMERIC - Pack of 12",Rw Garcia,32778,Turmeric,Herb Pharm,0.6,short_substring,False
B01LY4ZFR3,EWheels EW-54 4 Wheel Fully Covered Recreational Travel Mobility Scooter with Electromagnetic Brakes Red,eWheels,19436,Mobility,GNC TriFlex,0.6,short_substring,False
B0FN9XUY41,Organic Truvani (10 Gluten Butter zdmtwd (1 Powder,ukbjzn Truvani,1071100,Cider Apple Vinegar rngqcl,Life Nature's ywgnex,0.72,high_token_overlap,True
B08B46GXCF,Naomi Immunity Support - Strong and Powerful Immunity Support Olive Leaf Extract - 60 Count,NAOMI,262317,Olive Leaf Extract,Wonder Laboratories,0.9,substring,False
B07DJPJM5P,"3D Face Roller Ball Massager V-Line Firming Tool, Face Lifting Massager for Skin Tightening Body Shaping and Face Slimming Massager",COCREA,331429,Slimming,Revive,0.6,short_substring,False
B01M7YM0H2,"Bath Bombs Gift Set, TASEYAR Lush Natural Bubble Fizzies Spa Kit With Shea Butter & Essential Oils for Dry Skin, 6 x 4.0 oz, Birthday Gifts for Women, Mom, Wife, Girlfriend, Kids",TASEYAR,34855,Essential Oils,NewtonEverett,0.9,substring,False
B0B6WQP3Q3,"Plant Therapy Oh My Autumn Essential Oil Blend Set 10 mL (1/3 oz) Each of Pumpkin Spice, Apple Orchard, Fireside Flannel 100% Pure, Undiluted, Natural Aromatherapy",Plant Therapy,204917,Natural E-Oil,NOW,0.7,high_token_overlap,False
B073DHQTG6,NOVA Three Labs | Max Perform | Powdered Preworkout Formula Designed to Maximize Performance and Reduce Fatigue During Training. (Rainbow Candy),NOVA Three Labs,279988,Formula Three,Pure Herbs,0.7,high_token_overlap,False
B08HKZVM9P,"Silicone Back Scrubber for Shower, Body Scrubber 30"" Length Extended for Women/Man Bath Back Washer Brush, Easy to Clean Exfoliating Washer for More Hygiene 2020 Upgrade-(Pink）",WOOSL,19590,Clean For Women,Reaction Nutrition,0.7,high_token_overlap,False
B084YPNFTM,"JASTEK Professional Breathalyzer, Portable Breath Alcohol Tester High-Accuracy Rechargeable Digital Alcohol Tester Breathalyzer with 10 Mouthpieces for Drivers Use - Dark Gray",JASTEK,264779,Professional,ENZO,0.9,substring,False
B087MLYZYB,Eyekepper Blue Light Blocking Glasses for Women Reading Computer Screen - Anti Digital Glare with Yellow Filter Readers - Tortoise/Blue +2.25,Eyekepper,299876,Digital Blue,Quantum Health,0.7,high_token_overlap,False
B071NPSQVP,"Bride to be Decoration Accessory Kit for Bridal Shower Hen Night Party, Includs Banner & Satin Sash,White Double Ribbon Edge Center Cascade Bridal Wedding Veil with Comb,Rosette Badge and Garter,5 PC",Honbeanify,236801,Night Kit,S Sculpt,0.7,high_token_overlap,False
B0995X48PP,"XOMSIZE Teeth Whitening Strips,Charcoal Mint Teeth Whitening Kit for Remove Smoking Coffee Soda Wine Stains mild White Strip for Sensitive Teeth 14 Treatments White Professional Effects Whitestrips",XOMSIZE,181519,Professional,ENZO Nutraceuticals,0.9,substring,False
B07FYRZNVD,Sturdy Adjustable Black Walking Cane with Offset Handle for Men & Women - Mobility Aid,ProBasics,19436,Mobility,GNC TriFlex,0.6,short_substring,False
B08L1LHLYX,VEINZ Pills ✮ Best Nitric Oxide Booster w/ L-Arginine + L-Citrulline & ALA ✮ N.O. Supplement for Pumps ✮ 120 Capsules,LMNITRIX,73744,L-Citrulline,Source Naturals,0.9,substring,False
B010R37T6M,BioPure Organic Cilantro Herbal Tincture (1 fl oz),BioPure,183558,Cilantro,Herb Pharm,0.6,short_substring,False
B07DWLB8D7,BeauShape Toe Separators and Stretchers - Bunion Corrector for Women - Perfect for Yoga and Walking to Stay in Shape and Obtain a Beautiful Body - Toe Streightener for Relaxing Toes,BeauShape,183957,For Women,Country Life Realfood Organics,0.6,short_substring,False
B00BWXKRO8,Menopause Test (Pack of 2 Tests) - Test and be Sure!,Cassanovum,256012,Menopause,Nested Naturals,0.6,short_substring,False
B074Z9C21P,Trigger Point Body Massage Stick Cellulite Relief Yoga Roller for Muscle Pain Waist Hip Relief Tool,Free Walker,308022,Muscle Relief,Longevity Medical Clinic,0.7,high_token_overlap,False
B08KLGSP1B,"XingCHi Trigger Point Roller Massager for Forearm,Leg,Arm and Hand,Foam Roller Massage Stick for Muscle Relieve with Handle Sore Muscle Relief Self Cellulite Massage (Pink)",XingCHi,308022,Muscle Relief,Longevity Medical Clinic,0.9,substring,False
B08GYFQWF1,"royal plus Beauty Skin Bath Wash Towel Long Exfoliating Nylon Bath Cloth Towel, Magic Shower Washcloth for Body (Exfoliating Back Scrubber Green)",royal plus,305814,Skin & Beauty,Ancient Nutrition,0.7,high_token_overlap,False
B0B1ZJWTW5,"Crystal Hair Eraser Stone for Women Legs,Magic Painless Hair Remover,Crystal Hair Eraser for Women Men,Fast & Easy Exfoliate, Silky Hair Remover(Black)",DICTAMNI,210079,Black Magic,Medfit RX,0.7,high_token_overlap,False
